Title	Chrds	Prnt	Mp3	Rank	Year	RB1	RB2	RB3	NRB1	NRB2	NRB3	SRB	Aebersold
(I Don't Stand A) Ghost of a Chance				66	1932								
(I Would Do) Anything for You				750	1932								
(I'll Be Glad When You're Dead) You Rascal You				568	1931								
(Ooh) What A Little Moonlight Can Do				534	1934					y			
(Please) Do It Again				915	1922								
12th Street Rag				351	1914								
52nd Street Theme				433	1944		y						
9:20 Special				597	1941								
A Child Is Born				323	1969	y				y			i,091,
A Felicidade				708	1959							y	
A Fine Romance				427	1936	y							
A Flower Is A Lovesome Thing				398	1944		y						066,
A Foggy Day				88	1937							y	025,107,
A Nightingale Sang In Berkeley Square				804	1940			y		y			
A Sleepin' Bee				701	1954			y	y				
A Sunday Kind Of Love				752	1946	y							
A Taste Of Honey				893	1960			y					
A Time For Love				283	1966							y	040,
A-Tisket, A-Tasket				575	1938								
Afro Blue	y	y	y	772	1959	y							i,064,
After Hours	y		y	828	1946								
After I Say I'm Sorry				560	1926								
After You've Gone	y		y	34	1918			y					044,079,100,
Afternoon in Paris	y		y	532	1955	y							043,070,
Ain't Misbehavin'			y	32	1929			y		y			
Ain't She Sweet				650	1927								
Air Mail Special			y	448	1941		y						
Airegin			y	293	1954	y			y				008,
Alexander's Ragtime Band				578	1911								100,
Alfie				545	1966	y							
All Alone				918	1924		y						
All Blues	y	y	y	248	1959	y							050,081,
All By Myself				986	1921	y							
All God's Chillun Got Rhythm				296	1937								
All My Life				950	1936								
All Of Me	y	y	y	71	1931	y			y				095,
All Of You				356	1954	y						y	112,117,
All Or Nothing At All			y	387	1940			y	y				044,094,
All The Things You Are	y	y	y	2	1939	y							016,036,043,055,068,
All the Way				570	1957			y				y	
All Through the Night				509	1934							y	
All Too Soon				459	1940								
Allen's Alley				700	1949								
Almost Like Being in Love				265	1947						y		
Alone Together	y	y	y	89	1932							y	041,107,
Always				302	1925	y							
Am I Blue				486	1929							y	
Amazing Grace				731	Trad.								
An Affair To Remember				966	1957								
And The Angels Sing				786	1939							y	
Angel Eyes				67	1946	y			y				023,
Anthropology				483	1946	y			y				123,
Any Old Time				921	1930								
Anything Goes				754	1934							y	
April In Paris				130	1932	y							
Armando's Rhumba	y	y	y										
As Long As I Live				365	1934			y					
As Time Goes By				266	1931							y	094,
Ask Me Now				475	1951		y						
At Last				869	1942							y	
At Long Last Love				909	1937			y				y	112,117,
At Sundown				812	1927			y					
At The Jazz Band Ball				513	1918								
Au Privave				523	1951	y							
Auld Lang Syne				958	Trad.								078,125,
Aunt Hagar's Blues				901	1920								
Autumn In New York				121	1934	y							040,093,097,
Autumn Leaves	y	y	y	11	1947	y			y				020,044,054,067,
Avalon				109	1920		y						039,079,
Away In A Manger				917	1887								125,
Azure				629	1937		y						
Baby Won't You Please Come Home				205	1919								080,
Baby, It's Cold Outside				898	1948		y			y			
Back In Your Own Backyard				451	1927								
Back Water Blues				982	1927								
Bad And The Beautiful (Theme From The)				872	1953								
Bags' Groove				343	1954		y					y	h,
Baia				642	1938								
Ballin' The Jack				677	1913								
Barbados				627	1948		y						069,
Basin Street Blues				182	1928		y		y				046,
Baubles, Bangles and Beads				422	1953								
Be My Love				724	1949								
Be-Bop				440	1944		y						
Beale Street Blues				463	1916								
Beautiful Love				592	1931	y			y				
Begin The Beguine				247	1935							y	
Bei Mir Bist Du Schoen			y	967	1937								
Bemsha Swing				321	1952								
Bernie's Tune	y	y	y	394	1953			y	y				091,
Besame Mucho				294	1941								
Bess, You Is My Woman Now				539	1935								
Between the Devil and the Deep Blue Sea				157	1931			y					
Bewitched				335	1941	y						y	
Big Foot				733	1948								
