title|composer|chrds|prnt|mp3|rank|year|rb|nrb|srb|aebersold|irb|irbg|
(I Don't Stand A) Ghost Of A Chance|||||66|1932|||||||
(I Would Do) Anything For You|||||750|1932|||||||
(I'll Be Glad When You're Dead) You Rascal You|||||568|1931|||||||
(Ooh) What A Little Moonlight Can Do|||||534|1934||2|||||
(Please) Do It Again|||||915|1922|||||||
12-4 2-4/duplicities|||||||1-128||||||
12th Street Rag|||||351|1914|||||||
26-2|John Coltrane||||||||||y||
500 Miles High|Chick Corea||||||||||y||
502 Blues|Jimmy Rowles||||||1-153||||y||
52nd Street Theme|Thelonious Monk||||433|1944|2-93||||y||
728|||||||2-312||||||
9.20 Special|Earl Warren||||||||||y||
9:20 Special|||||597|1941|||||||
A Ballad|Gerry Mulligan||||||||||y||
A Beautiful Friendship|Donald Kahn||||||||||y||
A Blossom Fell|Barnes-Cornelius||||||||||y||
A Call For All Demons|||||||1-1||||||
A Certain Smile|Fain-Webster||||||||||y||
A Child Is Born|Thad Jones||||323|1969|1-2|2||i,091,|y||
A Family Joy|||||||1-4||||||
A Felicidade|Antonio-Carlos Jobim||||708|1959|||y||y||
A Fine Romance|Jerome Kern||||427|1936|1-3||||y||
A Flower Is A Lovesome Thing|Billy Strayhorn||||398|1944|2|||066,|y||
A Foggy Day|George Gershwin||||88|1937|1-6||y|025,107,|y||
A Ghost Of A Chance|Victor Young||||||||||y||
A Kiss To Build A Dream On|Kalmar-Ruby-Hammerstein||||||||||y||
A Little Tear|Deodato-Valle||||||||||y||
A Lovely Way To Spend An Evening|Jimmy McHugh||||||||||y||
A Night In Tunisia|Dizzy Gillespie||||||1-7||||y||
A Nightingale Sang In Berkeley Square|Manning Sherwin||||804|1940|3|2|||y||
A Pretty Girl Is Like A Melody|Irving Berlin||||||||||y||
A Sleepin' Bee|Harold Arlen||||701|1954|3|1|||y||
A Smooth One|Benny Goodman||||||||||y||
A Sound For Sore Ears|Jimmy Heath||||||||||y||
A Sunday Kind Of Love|Belle-Prima-Leonard-Rhodes||||752|1946|1||||y||
A Taste Of Honey|Marlow-Scott||||893|1960|3||||y||
A Time For Love|Johnny Mandel||||283|1966|||y|040,|y||
A Tisket A Tasket|Traditional||||||||||y||
A Weaver Of Dreams|Victor Young||||||||||y||
A Wonderful Day Like Today|Bricusse-Newley||||||||||y||
A'sprengisandi||||||||||||y|
A-tisket, A-tasket|||||575|1938|||||||
Ablution|||||||2-1||||||
Ac-cent-tchu-ate The Positive|Harold Arlen||||||||||y||
Across The Valley From The Alamo|Joe Greene||||||||||y||
Adam's Apple|Wayne Shorter||||||||||y||
Affirmation|||||||2-2||||||
African Flower|||||||1-8||||||
Afro Blue|Mongo Santamaria|y|y|y|772|1959|1-9|||i,064,|y||
Afro Centric|Joe Henderson||||||||||y||
After Hours||y||y|828|1946|||||||
After I Say I'm Sorry|||||560|1926|||||||
After You|Cole Porter||||||3-1||||y||
After You've Gone|Henry Creamer|y||y|34|1918|3-2|||044,079,100,|y||
Afternoon In Paris|John Lewis|y||y|532|1955|1-10|||043,070,|y||
Again|Lionel Newman||||||||||y||
Agua De Beber|Antonio-Carlos Jobim||||||||||y||
Ain't Misbehavin'|Fats Waller|||y|32|1929|3-3|2|||y||
Ain't She Sweet|Milton Ager||||650|1927|||||y||
Air Mail Special||||y|448|1941|2||||||
Airegin|Sonny Rollins|||y|293|1954|1-11|1||008,|y||
Airmail Special|Charlie Christian||||||2-3||||y||
Aisha|McCoy Tyner||||||||||y||
Alanjuneally|||||||3-6||||||
Alembert's||||||||||||y|
Alexander's Ragtime Band|Irving Berlin||||578|1911||||100,|y||
